PosX,PosY,PosZ,ZMode,Begin,End,Sections,StepSize,CycleCount,CycleTime,WaitTime,ValidStack,PositionIdentifier,FileNameBase,MartixIdentifier,TileScanIdentifier,AFCOffset,Valid,SuperZMode,ZPosition
13257735,5257080,0,2,571440,571440,1,0,1,0,0,0,Position78,,0,0,-2,1,1,0.0021714740
13257735,5461880,0,2,570978,570978,1,0,1,0,0,0,Position79,,0,0,-2,1,1,0.0021697192
13257735,5666680,0,2,570516,570516,1,0,1,0,0,0,Position80,,0,0,-2,1,1,0.0021679645
13257735,5871480,0,2,570055,570055,1,0,1,0,0,0,Position81,,0,0,-2,1,1,0.0021662098
13257735,6076280,0,2,569593,569593,1,0,1,0,0,0,Position82,,0,0,-2,1,1,0.0021644551
13257735,6281080,0,2,569131,569131,1,0,1,0,0,0,Position83,,0,0,-2,1,1,0.0021627004
13257735,6485880,0,2,568669,568669,1,0,1,0,0,0,Position84,,0,0,-2,1,1,0.0021609457
13257735,6690680,0,2,568208,568208,1,0,1,0,0,0,Position85,,0,0,-2,1,1,0.0021591910
13257735,6895480,0,2,567746,567746,1,0,1,0,0,0,Position86,,0,0,-2,1,1,0.0021574363
13257735,7100280,0,2,567284,567284,1,0,1,0,0,0,Position87,,0,0,-2,1,1,0.0021556816
13462535,5052280,0,2,572117,572117,1,0,1,0,0,0,Position88,,0,0,-2,1,1,0.0021740469
13462535,5257080,0,2,571655,571655,1,0,1,0,0,0,Position89,,0,0,-2,1,1,0.0021722922
13462535,5461880,0,2,571194,571194,1,0,1,0,0,0,Position90,,0,0,-2,1,1,0.0021705375
13462535,5666680,0,2,570732,570732,1,0,1,0,0,0,Position91,,0,0,-2,1,1,0.0021687828
13462535,5871480,0,2,570270,570270,1,0,1,0,0,0,Position92,,0,0,-2,1,1,0.0021670281
13462535,6076280,0,2,569808,569808,1,0,1,0,0,0,Position93,,0,0,-2,1,1,0.0021652734
13462535,6281080,0,2,569347,569347,1,0,1,0,0,0,Position94,,0,0,-2,1,1,0.0021635187
13462535,6485880,0,2,568885,568885,1,0,1,0,0,0,Position95,,0,0,-2,1,1,0.0021617640
13462535,6690680,0,2,568423,568423,1,0,1,0,0,0,Position96,,0,0,-2,1,1,0.0021600092
13462535,6895480,0,2,567961,567961,1,0,1,0,0,0,Position97,,0,0,-2,1,1,0.0021582545
13462535,7100280,0,2,567499,567499,1,0,1,0,0,0,Position98,,0,0,-2,1,1,0.0021564998
13667335,5052280,0,2,572332,572332,1,0,1,0,0,0,Position99,,0,0,-2,1,1,0.0021748652
13667335,5257080,0,2,571871,571871,1,0,1,0,0,0,Position100,,0,0,-2,1,1,0.0021731105
13667335,5461880,0,2,571409,571409,1,0,1,0,0,0,Position101,,0,0,-2,1,1,0.0021713558
13667335,5666680,0,2,570947,570947,1,0,1,0,0,0,Position102,,0,0,-2,1,1,0.0021696010
13667335,5871480,0,2,570485,570485,1,0,1,0,0,0,Position103,,0,0,-2,1,1,0.0021678463
13667335,6076280,0,2,570024,570024,1,0,1,0,0,0,Position104,,0,0,-2,1,1,0.0021660916
13667335,6281080,0,2,569562,569562,1,0,1,0,0,0,Position105,,0,0,-2,1,1,0.0021643369
13667335,6485880,0,2,569100,569100,1,0,1,0,0,0,Position106,,0,0,-2,1,1,0.0021625822
13667335,6690680,0,2,568638,568638,1,0,1,0,0,0,Position107,,0,0,-2,1,1,0.0021608275
13667335,6895480,0,2,568177,568177,1,0,1,0,0,0,Position108,,0,0,-2,1,1,0.0021590728
13667335,7100280,0,2,567715,567715,1,0,1,0,0,0,Position109,,0,0,-2,1,1,0.0021573181
13872135,5052280,0,2,572548,572548,1,0,1,0,0,0,Position110,,0,0,-2,1,1,0.0021756834
13872135,5257080,0,2,572086,572086,1,0,1,0,0,0,Position111,,0,0,-2,1,1,0.0021739287
13872135,5461880,0,2,571624,571624,1,0,1,0,0,0,Position112,,0,0,-2,1,1,0.0021721740
13872135,5666680,0,2,571162,571162,1,0,1,0,0,0,Position113,,0,0,-2,1,1,0.0021704193
13872135,5871480,0,2,570701,570701,1,0,1,0,0,0,Position114,,0,0,-2,1,1,0.0021686646
13872135,6076280,0,2,570239,570239,1,0,1,0,0,0,Position115,,0,0,-2,1,1,0.0021669099
13872135,6281080,0,2,569777,569777,1,0,1,0,0,0,Position116,,0,0,-2,1,1,0.0021651552
13872135,6485880,0,2,569315,569315,1,0,1,0,0,0,Position117,,0,0,-2,1,1,0.0021634005
13872135,6690680,0,2,568854,568854,1,0,1,0,0,0,Position118,,0,0,-2,1,1,0.0021616458
13872135,6895480,0,2,568392,568392,1,0,1,0,0,0,Position119,,0,0,-2,1,1,0.0021598910
13872135,7100280,0,2,567930,567930,1,0,1,0,0,0,Position120,,0,0,-2,1,1,0.0021581363
14076935,5052280,0,2,572763,572763,1,0,1,0,0,0,Position121,,0,0,-2,1,1,0.0021765017
14076935,5257080,0,2,572301,572301,1,0,1,0,0,0,Position122,,0,0,-2,1,1,0.0021747470
14076935,5461880,0,2,571840,571840,1,0,1,0,0,0,Position123,,0,0,-2,1,1,0.0021729923
14076935,5666680,0,2,571378,571378,1,0,1,0,0,0,Position124,,0,0,-2,1,1,0.0021712375
14076935,5871480,0,2,570916,570916,1,0,1,0,0,0,Position125,,0,0,-2,1,1,0.0021694828
14076935,6076280,0,2,570454,570454,1,0,1,0,0,0,Position126,,0,0,-2,1,1,0.0021677281
14076935,6281080,0,2,569993,569993,1,0,1,0,0,0,Position127,,0,0,-2,1,1,0.0021659734
14076935,6485880,0,2,569531,569531,1,0,1,0,0,0,Position128,,0,0,-2,1,1,0.0021642187
14076935,6690680,0,2,569069,569069,1,0,1,0,0,0,Position129,,0,0,-2,1,1,0.0021624640
14076935,6895480,0,2,568607,568607,1,0,1,0,0,0,Position130,,0,0,-2,1,1,0.0021607093
14076935,7100280,0,2,568145,568145,1,0,1,0,0,0,Position131,,0,0,-2,1,1,0.0021589546
